;Assunto
Aula 1;Big Data
Aula 2;Banco de Dados
Aula 3;Comandos em SQL
Aula 4;Comandos em SQL
Aula 5;Linguagem de programação - Python
Aula 6;Matemática Estatistica
Aula 7;Matemática Estatistica
Aula 8;Biblioteca Pandas
Aula 9;Biblioteca Pandas
Aula 10;Biblioteca Numpy
Aula 11;Biblioteca Matplotlib
Aula 12;Biblioteca Seaborn
Aula 13;Biblioteca Seaborn
Aula 14;Comandos em Spark
Aula 15;Comandos em PySpark
Aula 16;Machine Learning
Aula 17;Machine Learning
Aula 18;Machine Learning
Aula 19;Dashboards
Aula 20;Dashboards
